run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
1,12345,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,0,27,3,1,0,0,party wiped
2,12346,1,Normal,23,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,23,27,2,1,0,0,party wiped
3,12347,1,Normal,26,2,2,2,0,27,15,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,12,9,0,1,1,
3,12347,2,Normal,21,3,3,2,0,15,0,0,0,10,0,1,1,4,2,0,0,1,3,0,0,56,15,15,1,0,0,party wiped
4,12348,1,Normal,35,2,2,2,0,27,27,0,0,10,0,1,1,3,0,0,0,3,3,0,0,56,0,9,0,1,1,
4,12348,2,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,3,1,0,0,2,3,0,0,46,27,9,1,0,0,party wiped
5,12349,1,Normal,27,1,1,1,0,27,27,0,0,5,0,1,1,2,0,0,1,3,3,0,0,28,0,5,0,1,1,
5,12349,2,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,4,3,3,0,0,14,27,2,1,0,0,party wiped
6,12350,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,51,27,8,1,0,0,party wiped
7,12351,1,Normal,26,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,0,3,3,0,0,37,27,6,1,0,0,party wiped
8,12352,1,Normal,36,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,0,8,0,1,1,
8,12352,2,Normal,32,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,2,3,3,0,0,56,0,10,0,1,1,
8,12352,3,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,5,1,0,0,2,3,0,0,51,27,16,1,0,0,party wiped
9,12353,1,Normal,28,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,9,0,1,1,
9,12353,2,Normal,30,3,3,3,0,27,15,0,0,15,0,1,1,3,0,0,0,2,3,0,0,84,12,13,0,1,1,
9,12353,3,Normal,17,2,2,1,0,15,0,0,0,5,0,1,1,1,0,0,2,2,3,0,0,37,15,4,1,0,0,party wiped
10,12354,1,Normal,37,4,4,4,0,27,15,0,0,20,0,1,1,3,3,0,0,0,3,0,0,112,12,17,0,1,1,
10,12354,2,Normal,14,3,3,2,0,15,0,0,0,10,0,1,1,3,0,3,0,0,0,0,0,67,15,16,1,0,0,party wiped
11,12355,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,14,27,4,1,0,0,party wiped
12,12356,1,Normal,6,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,23,27,4,1,0,0,party wiped
13,12357,1,Normal,22,4,4,3,0,27,0,0,0,15,0,1,1,3,1,0,0,2,3,0,0,93,27,16,1,0,0,party wiped
14,12358,1,Normal,38,0,0,0,0,27,27,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,0,0,0,1,1,
14,12358,2,Normal,7,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,4,3,3,0,0,37,27,7,1,0,0,party wiped
15,12359,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,3,3,3,0,0,0,0,0,46,27,19,1,0,0,party wiped
16,12360,1,Normal,39,3,3,3,0,27,15,0,0,15,0,1,1,3,2,0,0,1,3,0,0,84,12,12,0,1,1,
16,12360,2,Normal,13,1,1,0,0,15,0,0,0,0,0,1,1,1,0,0,2,1,3,0,0,14,15,4,1,0,0,party wiped
17,12361,1,Normal,19,3,3,2,0,27,0,0,0,10,0,1,1,3,3,0,0,0,3,0,0,74,27,18,1,0,0,party wiped
18,12362,1,Normal,37,5,5,4,0,27,0,0,0,20,0,1,1,3,2,0,0,1,3,0,0,137,27,19,1,0,0,party wiped
19,12363,1,Normal,13,2,2,1,0,27,0,0,0,5,0,1,1,3,2,0,0,1,3,0,0,46,27,11,1,0,0,party wiped
20,12364,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,3,1,0,0,party wiped
21,12365,1,Normal,18,3,3,2,0,27,0,0,0,10,0,1,1,3,3,3,0,0,0,0,0,74,27,22,1,0,0,party wiped
22,12366,1,Normal,25,2,2,2,0,27,15,0,0,10,0,1,1,3,2,0,0,1,3,0,0,56,12,14,0,1,1,
22,12366,2,Normal,9,2,2,1,0,15,0,0,0,5,0,1,1,2,0,0,1,1,3,0,0,46,15,8,1,0,0,party wiped
23,12367,1,Normal,33,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,13,0,1,1,
23,12367,2,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,2,3,0,0,0,27,2,1,0,0,party wiped
24,12368,1,Normal,26,2,2,2,0,27,15,0,0,10,0,1,1,3,0,0,0,3,3,0,0,56,12,9,0,1,1,
24,12368,2,Normal,31,4,4,3,0,15,0,0,0,15,0,1,1,3,3,3,0,0,0,0,0,84,15,17,1,0,0,party wiped
25,12369,1,Normal,5,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,0,3,3,0,0,51,27,8,1,0,0,party wiped
26,12370,1,Normal,8,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,0,3,3,0,0,51,27,8,1,0,0,party wiped
