run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,floor1_town_uses_cumulative,notes
1,12345,1,Normal,26,3,3,3,0,27,27,0,0,60,0,1,1,0,7,1,15,3,3,0,0,84,0,14,0,1,1,4,floor1_town
1,12345,2,Normal,33,4,4,4,0,27,36,0,2,80,0,1,2,5,3,3,13,0,0,0,0,112,0,21,0,1,1,4,+1 levelup
1,12345,3,Normal,35,2,2,2,0,36,24,2,2,40,0,2,2,3,0,0,13,0,0,0,0,56,12,9,0,1,1,4,
1,12345,4,Normal,35,4,4,4,0,24,15,2,2,80,0,2,2,7,0,0,9,0,0,0,0,112,9,22,0,1,1,4,
1,12345,5,Normal,29,4,4,4,0,15,34,2,4,80,0,2,3,4,0,0,8,0,0,0,0,112,2,17,0,1,1,4,+1 levelup
1,12345,6,Normal,31,2,2,2,0,34,41,4,4,40,0,3,3,2,0,0,6,0,0,0,0,56,-7,9,0,1,1,4,
1,12345,7,Normal,39,4,4,4,0,41,34,4,4,80,0,3,3,3,0,0,3,0,0,0,0,112,7,16,0,1,1,4,
1,12345,8,Normal,36,6,6,5,0,34,0,4,4,100,0,3,3,3,0,0,0,0,0,0,0,155,34,17,1,0,0,4,party wiped
2,12346,1,Normal,34,3,3,3,0,27,27,0,0,60,0,1,1,3,9,6,15,3,3,0,0,84,0,28,0,1,1,4,floor1_town
2,12346,2,Normal,26,4,4,4,0,27,35,0,3,80,0,1,2,4,3,3,14,0,0,0,0,112,0,22,0,1,1,4,+1 levelup
2,12346,3,Normal,37,6,6,6,0,35,19,3,3,120,0,2,2,5,0,0,12,0,0,0,0,168,16,24,0,1,1,4,
2,12346,4,Normal,30,3,3,3,0,19,29,3,5,60,0,2,3,3,0,0,12,0,0,0,0,84,-3,12,0,1,1,4,+1 levelup
2,12346,5,Normal,28,3,3,3,0,29,42,5,5,60,0,3,3,2,0,0,13,0,0,0,0,84,-13,10,0,1,1,4,
2,12346,6,Normal,27,4,4,4,0,42,18,5,5,80,0,3,3,1,0,0,12,0,0,0,0,112,24,12,0,1,1,4,
2,12346,7,Normal,26,2,2,2,0,18,42,5,5,40,0,3,3,2,0,0,10,0,0,0,0,56,-24,8,0,1,1,4,
2,12346,8,Normal,40,4,4,4,0,42,42,5,5,80,0,3,3,3,0,0,7,0,0,0,0,112,0,15,0,1,1,4,
2,12346,9,Normal,35,4,4,4,0,42,25,5,7,80,0,3,4,2,0,0,5,0,0,0,0,112,41,18,0,1,1,4,+1 levelup
2,12346,10,Normal,30,2,2,2,0,25,30,7,7,40,0,4,4,1,0,0,4,0,0,0,0,56,-5,5,0,1,1,4,
3,12347,1,Normal,26,4,4,4,0,27,27,0,0,80,0,1,1,3,11,1,15,3,3,0,0,112,0,22,0,1,1,5,floor1_town
3,12347,2,Normal,27,1,1,1,0,27,35,0,2,20,0,1,2,0,3,0,18,0,3,0,0,28,0,4,0,1,1,5,+1 levelup
3,12347,3,Normal,15,3,3,2,0,35,0,2,2,40,0,2,2,0,0,3,21,0,0,0,0,68,35,11,1,0,0,5,party wiped
4,12348,1,Normal,35,3,3,3,0,27,27,0,0,60,0,1,1,2,6,1,15,3,3,0,0,84,0,20,0,1,1,4,floor1_town
4,12348,2,Normal,26,0,0,0,0,27,27,0,0,0,0,1,1,0,0,0,18,3,3,0,0,0,0,0,0,1,1,4,
4,12348,3,Normal,31,3,3,3,0,27,35,0,2,60,0,1,2,3,3,3,18,0,0,0,0,84,0,16,0,1,1,4,+1 levelup
4,12348,4,Normal,27,4,4,4,0,35,16,2,2,80,0,2,2,3,0,0,18,0,0,0,0,112,19,16,0,1,1,4,
4,12348,5,Normal,37,5,5,5,0,16,42,2,3,100,0,2,3,4,0,0,17,0,0,0,0,140,-8,15,0,1,1,4,+1 levelup
4,12348,6,Normal,35,4,4,4,0,42,25,3,3,80,0,3,3,1,0,0,16,0,0,0,0,112,17,8,0,1,1,4,
4,12348,7,Normal,35,2,2,2,0,25,33,3,3,40,0,3,3,2,0,0,14,0,0,0,0,56,-8,7,0,1,1,4,
4,12348,8,Normal,40,4,4,4,0,33,42,3,3,80,0,3,3,2,0,0,12,0,0,0,0,112,-9,10,0,1,1,4,
4,12348,9,Normal,26,3,3,3,0,42,35,3,3,60,0,3,3,3,0,0,9,0,0,0,0,84,7,14,0,1,1,4,
4,12348,10,Normal,32,5,5,5,0,35,34,3,5,100,0,3,4,1,0,0,8,0,0,0,0,140,29,14,0,1,1,4,+1 levelup
