run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,floor1_town_uses_cumulative,last_battle_enemy_count,notes
1,12345,1,Normal,26,3,3,3,0,27,27,0,0,15,0,1,1,0,7,1,15,3,3,0,0,84,0,14,0,1,1,22,1,floor1_town
1,12345,2,Normal,29,3,3,3,0,27,27,0,0,15,0,1,1,5,7,0,12,0,3,0,0,84,0,21,0,1,1,40,1,
1,12345,2,Normal,27,3,3,3,0,27,27,0,0,15,0,1,1,2,5,0,14,2,3,0,0,84,0,11,0,1,1,58,1,ai_farm
1,12345,2,Normal,34,5,5,5,0,27,27,0,0,25,0,1,1,4,10,3,14,0,2,0,0,140,0,29,0,1,1,88,1,ai_farm
1,12345,2,Normal,26,3,3,3,0,27,27,0,0,15,0,1,1,4,4,0,11,3,3,0,0,84,0,11,0,1,1,106,1,ai_farm
1,12345,2,Normal,25,4,4,4,0,27,36,0,2,20,0,1,2,5,7,5,13,0,1,0,0,112,0,31,0,1,1,124,1,ai_farm; +1 levelup
1,12345,2,Normal,30,2,2,2,0,36,36,2,2,10,0,2,2,2,0,1,11,0,0,0,0,56,0,9,0,1,1,124,1,ai_farm
1,12345,2,Normal,31,3,3,3,0,36,27,2,2,15,0,2,2,2,3,0,15,0,3,0,0,84,27,14,0,1,1,125,1,ai_farm
1,12345,2,Normal,32,3,3,3,0,27,24,2,2,15,0,2,2,0,3,3,15,0,0,0,0,84,12,12,0,1,1,126,1,ai_farm
1,12345,2,Normal,25,3,3,3,0,24,36,2,2,15,0,2,2,1,4,3,15,2,3,0,0,84,12,14,0,1,1,128,1,ai_farm
1,12345,2,Normal,30,4,4,4,0,36,18,2,2,20,0,2,2,4,5,6,12,0,0,0,0,112,30,29,0,1,1,129,1,ai_farm
1,12345,2,Normal,26,3,3,3,0,18,36,2,2,15,0,2,2,1,3,3,14,0,0,0,0,84,0,13,0,1,1,130,1,ai_farm
1,12345,2,Normal,31,2,2,2,0,36,36,2,2,10,0,2,2,3,0,0,11,0,0,0,0,56,0,10,0,1,1,130,1,ai_farm
1,12345,2,Normal,31,3,3,3,0,36,36,2,2,15,0,2,2,0,3,3,15,0,0,0,0,84,12,16,0,1,1,131,1,ai_farm
1,12345,2,Normal,31,1,1,1,0,36,36,2,2,5,0,2,2,0,0,0,15,0,0,0,0,28,0,2,0,1,1,131,1,ai_farm
1,12345,2,Normal,36,2,2,2,0,36,24,2,2,10,0,2,2,2,0,0,13,0,0,0,0,56,12,13,0,1,1,131,1,ai_farm
1,12345,2,Normal,38,4,4,4,0,24,36,2,2,20,0,2,2,0,3,3,15,0,0,0,0,112,0,14,0,1,1,132,1,ai_farm
1,12345,2,Normal,30,3,3,3,0,36,36,2,2,15,0,2,2,2,3,1,15,0,2,0,0,84,12,16,0,1,1,133,1,ai_farm
1,12345,2,Normal,31,4,4,4,0,36,36,2,2,20,0,2,2,2,1,2,15,2,3,0,0,112,15,16,0,1,1,134,1,ai_farm
1,12345,2,Normal,33,2,2,2,0,36,44,2,3,10,0,2,3,0,2,2,15,0,1,0,0,56,0,6,0,1,1,134,1,ai_farm; +1 levelup
1,12345,3,Normal,37,5,5,5,0,44,33,3,3,15,0,3,3,4,1,1,15,2,3,0,0,216,29,23,0,1,1,135,2,
1,12345,4,Normal,35,5,5,5,0,33,44,3,3,25,0,3,3,1,7,6,15,1,3,0,0,206,27,30,0,1,1,137,1,
1,12345,5,Normal,26,2,2,2,0,44,37,3,3,0,0,3,3,1,1,3,16,0,0,0,0,66,7,14,0,1,1,137,2,
1,12345,6,Normal,38,3,3,3,0,37,33,3,3,0,0,3,3,0,0,0,15,3,3,0,0,66,25,7,0,1,1,138,1,
1,12345,7,Normal,29,2,2,2,0,33,37,3,3,0,0,3,3,0,3,1,15,0,2,0,0,66,-4,9,0,1,1,138,1,
1,12345,8,Normal,40,5,5,5,0,37,33,3,3,30,0,3,3,1,4,5,14,2,3,0,0,212,49,25,0,1,1,140,1,
1,12345,9,Normal,36,3,3,3,0,33,32,3,3,5,0,3,3,1,2,1,13,0,2,0,0,72,1,13,0,1,1,140,1,
1,12345,10,Normal,26,5,5,5,0,32,33,3,3,15,0,3,3,2,3,2,14,0,3,0,0,172,24,24,0,1,1,141,2,
2,12346,1,Normal,34,3,3,3,0,27,27,0,0,15,0,1,1,3,9,6,15,3,3,0,0,84,0,28,0,1,1,22,1,floor1_town
2,12346,2,Normal,29,3,3,3,0,27,27,0,0,15,0,1,1,5,6,4,14,3,3,0,0,84,0,22,0,1,1,40,1,
2,12346,2,Normal,25,3,3,3,0,27,27,0,0,15,0,1,1,2,8,2,15,1,3,0,0,84,0,19,0,1,1,58,1,ai_farm
2,12346,2,Normal,32,3,3,3,0,27,27,0,0,15,0,1,1,2,5,0,15,0,3,0,0,84,0,11,0,1,1,76,1,ai_farm
2,12346,2,Normal,25,3,3,3,0,27,27,0,0,15,0,1,1,4,3,0,12,2,3,0,0,84,0,12,0,1,1,94,1,ai_farm
2,12346,2,Normal,25,1,1,1,0,27,27,0,0,5,0,1,1,0,0,0,15,3,3,0,0,28,0,2,0,1,1,100,1,ai_farm
2,12346,2,Normal,34,3,3,3,0,27,27,0,0,15,0,1,1,0,6,1,15,3,3,0,0,84,0,13,0,1,1,118,1,ai_farm
2,12346,2,Normal,27,3,3,2,0,27,0,0,2,10,0,1,2,0,3,3,15,0,0,0,0,69,34,16,1,0,0,124,1,ai_farm; party wiped; +1 levelup
3,12347,1,Normal,26,4,4,4,0,27,27,0,0,20,0,1,1,3,11,1,15,3,3,0,0,112,0,22,0,1,1,29,1,floor1_town
3,12347,2,Normal,37,4,4,4,0,27,27,0,0,20,0,1,1,4,9,2,15,0,3,0,0,112,0,22,0,1,1,53,1,
3,12347,2,Normal,35,2,2,2,0,27,27,0,0,10,0,1,1,2,2,0,14,2,3,0,0,56,0,8,0,1,1,65,1,ai_farm
3,12347,2,Normal,26,4,4,4,0,27,27,0,0,20,0,1,1,1,11,4,15,1,3,0,0,112,0,24,0,1,1,89,1,ai_farm
3,12347,2,Normal,39,4,4,4,0,27,27,0,0,20,0,1,1,7,9,0,14,1,3,0,0,112,0,22,0,1,1,113,1,ai_farm
3,12347,2,Normal,36,7,7,7,0,27,27,0,1,35,0,1,2,2,9,4,15,0,2,0,0,196,34,34,0,1,1,127,1,ai_farm; +1 levelup
3,12347,2,Normal,36,1,1,1,0,27,36,1,1,5,0,2,2,0,1,0,15,2,3,0,0,28,0,2,0,1,1,128,1,ai_farm
3,12347,2,Normal,30,2,2,2,0,36,36,1,1,10,0,2,2,0,1,0,15,1,3,0,0,56,0,6,0,1,1,128,1,ai_farm
3,12347,2,Normal,28,5,5,5,0,36,36,1,1,25,0,2,2,0,7,6,15,0,1,0,0,140,16,32,0,1,1,130,1,ai_farm
3,12347,2,Normal,28,2,2,2,0,36,20,1,1,10,0,2,2,1,0,1,14,0,0,0,0,56,16,9,0,1,1,130,1,ai_farm
3,12347,2,Normal,27,6,6,6,0,20,27,1,1,30,0,2,2,0,2,0,15,3,3,0,0,168,45,21,0,1,1,135,1,ai_farm
3,12347,2,Normal,37,2,2,2,0,27,36,1,1,10,0,2,2,0,2,0,15,1,3,0,0,56,0,4,0,1,1,136,1,ai_farm
3,12347,2,Normal,27,1,1,1,0,36,36,1,1,5,0,2,2,0,1,0,15,0,3,0,0,28,0,5,0,1,1,136,1,ai_farm
3,12347,2,Normal,39,3,3,3,0,36,18,1,1,15,0,2,2,1,0,3,14,0,0,0,0,84,18,13,0,1,1,136,1,ai_farm
3,12347,2,Normal,31,1,1,1,0,18,36,1,1,5,0,2,2,0,3,1,15,0,2,0,0,28,0,7,0,1,1,137,1,ai_farm
3,12347,2,Normal,39,3,3,3,0,36,36,1,1,15,0,2,2,2,0,2,14,3,3,0,0,84,18,15,0,1,1,138,1,ai_farm
3,12347,2,Normal,32,3,3,3,0,36,27,1,1,15,0,2,2,1,1,0,15,2,3,0,0,84,18,10,0,1,1,139,1,ai_farm
3,12347,2,Normal,31,4,4,4,0,27,36,1,1,20,0,2,2,1,3,0,15,2,3,0,0,112,18,18,0,1,1,142,1,ai_farm
3,12347,2,Normal,30,0,0,0,0,36,36,1,1,0,0,2,2,0,0,0,15,2,3,0,0,0,0,0,0,1,1,142,0,ai_farm
3,12347,2,Normal,39,6,6,6,0,36,34,1,2,30,0,2,3,3,2,3,15,3,3,0,0,168,41,34,0,1,1,143,1,ai_farm; +1 levelup
3,12347,3,Normal,40,3,3,3,0,34,43,2,2,10,0,3,3,0,3,3,15,3,3,0,0,100,11,15,0,1,1,144,1,
3,12347,4,Normal,29,2,2,2,0,43,34,2,2,10,0,3,3,0,1,0,17,2,3,0,0,56,9,5,0,1,1,144,1,
3,12347,5,Normal,32,3,3,3,0,34,34,2,2,5,0,3,3,0,2,0,18,0,3,0,0,72,0,12,0,1,1,144,1,
3,12347,6,Normal,26,1,1,1,0,34,34,2,2,0,0,3,3,0,0,0,18,0,3,0,0,22,0,3,0,1,1,144,1,
3,12347,7,Normal,38,6,6,6,0,34,34,2,2,35,0,3,3,5,1,3,15,2,3,0,0,262,20,27,0,1,1,145,2,
3,12347,8,Normal,30,4,4,4,0,34,37,2,2,20,0,3,3,0,3,3,15,2,3,0,0,156,18,18,0,1,1,146,1,
3,12347,9,Normal,25,3,3,3,0,37,34,2,2,15,0,3,3,0,2,3,15,0,0,0,0,106,3,16,0,1,1,146,2,
3,12347,10,Normal,25,1,1,1,0,34,40,2,2,5,0,3,3,1,0,0,14,0,0,0,0,28,-6,3,0,1,1,146,1,
4,12348,1,Normal,35,3,3,3,0,27,27,0,0,15,0,1,1,2,6,1,15,3,3,0,0,84,0,20,0,1,1,22,1,floor1_town
4,12348,2,Normal,31,2,2,2,0,27,27,0,0,10,0,1,1,2,4,3,15,2,3,0,0,56,0,16,0,1,1,34,1,
4,12348,2,Normal,30,3,3,3,0,27,27,0,0,15,0,1,1,4,7,3,14,2,3,0,0,84,0,21,0,1,1,52,1,ai_farm
4,12348,2,Normal,26,0,0,0,0,27,27,0,0,0,0,1,1,0,0,0,14,2,3,0,0,0,0,0,0,1,1,52,0,ai_farm
4,12348,2,Normal,31,3,3,3,0,27,27,0,0,15,0,1,1,6,9,4,14,0,1,0,0,84,0,26,0,1,1,70,1,ai_farm
4,12348,2,Normal,37,4,4,4,0,27,27,0,0,20,0,1,1,2,9,3,15,1,3,0,0,112,0,22,0,1,1,94,1,ai_farm
4,12348,2,Normal,30,3,3,3,0,27,27,0,0,15,0,1,1,3,9,6,15,0,1,0,0,84,0,26,0,1,1,112,1,ai_farm
4,12348,2,Normal,32,2,2,2,0,27,36,0,1,10,0,1,2,0,5,0,15,0,3,0,0,56,0,9,0,1,1,124,1,ai_farm; +1 levelup
4,12348,2,Normal,33,5,5,5,0,36,36,1,1,25,0,2,2,1,2,3,15,1,3,0,0,140,12,20,0,1,1,125,1,ai_farm
